#
# Version: 2011-03-12 00:00:00.0
#
# Table label_fr = Codes INS via Code postal
#
# POSTAL_CODE_fr  =  Code postal
# SEQNBR_fr  =  Numéro de séquence
# NIS_CODE_fr  =  Code INS
# EXPIRATION_DATE_fr  =  Date de suppression
# LATEST_TREATMENT_DATE_fr  =  Date du dernier traitement
#
# Table label_nl = NIS-codes via postcode
#
# POSTAL_CODE_nl  =  Postcode
# SEQNBR_nl  =  Sequentienummer
# NIS_CODE_nl  =  NIS-code
# EXPIRATION_DATE_nl  =  Verwijderingsdatum
# LATEST_TREATMENT_DATE_nl  =  Datum laatste verwerking
#
# Table label_de = LAS-Codes über Postleitzahl
#
# POSTAL_CODE_de  =  Postleitzahl
# SEQNBR_de  =  Sequenznummer
# NIS_CODE_de  =  LAS-Code
# EXPIRATION_DATE_de  =  Löschungsdatum
# LATEST_TREATMENT_DATE_de  =  Datum der letzten Verarbeitung
#
POSTAL_CODE;SEQNBR;NIS_CODE;EXPIRATION_DATE;LATEST_TREATMENT_DATE
2321;1;13020;;
2322;0;13014;;
2322;1;13024;;
2323;0;13014;;
2323;1;13051;;
2328;0;13014;;
2328;1;13022;;
2330;0;13023;;
2340;0;13004;;
2340;1;13043;;1990-10-26
2350;0;13046;;
2360;0;13031;;
2370;0;13001;;
2370;1;13025;;1991-06-14
2380;0;13035;;
2381;0;13035;;
2381;1;13048;;1990-10-26
2382;0;13033;;1990-10-26
2382;1;13035;;
2387;0;13002;;
2390;0;11032;;1990-10-26
2390;1;11049;;1990-10-26
2390;2;11057;;
2400;0;13025;;
2430;0;13007;;1990-10-26
2430;1;13045;;1990-10-26
2430;2;13053;;
2431;0;13041;;1990-10-26
2431;1;13042;;1990-10-26
2431;2;13053;;
2440;0;13008;;
2440;1;13028;;1986-01-15
2450;0;13021;;
2460;0;13017;;
2460;1;13018;;1990-10-26
2460;2;13038;;1990-10-26
2470;0;13006;;1991-06-14
2470;1;13036;;
2480;0;13006;;
2490;0;13003;;
2491;0;13003;;
2491;1;13030;;
2500;0;12019;;1990-10-26
2500;1;12021;;
2520;0;11010;;1990-10-26
2520;1;11015;;1990-10-26
2520;2;11031;;1990-10-26
2520;3;11035;;
2530;0;11004;;
2531;0;11004;;
2531;1;11047;;
