#
# Version: 2022-02-10 17:06:11.0
#
# Table label_fr = Codes INS via la commune
#
# NIS_CODE_fr  =  Code INS
# LINGUISTIC_REGIME_fr  =  Régime linguistique
# DESC_FR_fr  =  Nom de commune en Français
# DESC_NL_fr  =  Nom de commune en Néerlandais
# DESC_DE_fr  =  Nom de la commune en Allemand
# POSTAL_CODE_fr  =  Code postal
#
# Table label_nl = NIS-codes via gemeente
#
# NIS_CODE_nl  =  NIS-code
# LINGUISTIC_REGIME_nl  =  Taalrol
# DESC_FR_nl  =  Gemeentenaam in het Frans
# DESC_NL_nl  =  Gemeentenaam in het Nederlands
# DESC_DE_nl  =  Gemeentenaam in het Duits
# POSTAL_CODE_nl  =  Postcode
#
# Table label_de = LAS-Codes über Gemeinde
#
# NIS_CODE_de  =  LAS-Code
# LINGUISTIC_REGIME_de  =  Sprachenregelung
# DESC_FR_de  =  Name der Gemeinde auf Französisch
# DESC_NL_de  =  Name der Gemeinde auf Niederländisch
# DESC_DE_de  =  Name der Gemeinde auf Deutsch
# POSTAL_CODE_de  =  Postleitzahl
#
NIS_CODE;LINGUISTIC_REGIME;DESC_FR;DESC_NL;DESC_DE;POSTAL_CODE
13008;N0;;Geel;;2440
13010;N0;;Grobbendonk;;2280
13010;N0;;Grobbendonk;;2288
13011;N0;;Herentals;;2200
13012;N0;;Herenthout;;2270
13013;N0;;Herselt;;2230
13014;N0;;Hoogstraten;;2320
13014;N0;;Hoogstraten;;2321
13014;N0;;Hoogstraten;;2322
13014;N0;;Hoogstraten;;2323
13014;N0;;Hoogstraten;;2328
13016;N0;;Hulshout;;2235
13017;N0;;Kasterlee;;2460
13019;N0;;Lille;;2275
13021;N0;;Meerhout;;2450
13023;N0;;Merksplas;;2330
13025;N0;;Mol;;2400
13029;N0;;Olen;;2250
13031;N0;;Oud-Turnhout;;2360
13035;N0;;Ravels;;2380
13035;N0;;Ravels;;2381
13035;N0;;Ravels;;2382
13036;N0;;Retie;;2470
13037;N0;;Rijkevorsel;;2310
13040;N0;;Turnhout;;2300
13044;N0;;Vorselaar;;2290
13046;N0;;Vosselaar;;2350
13049;N0;;Westerlo;;2260
13053;N0;;Laakdal;;2430
13053;N0;;Laakdal;;2431
21001;B1;Anderlecht;Anderlecht;;1070
21002;B1;Auderghem;Oudergem;;1160
21003;B1;Berchem-Sainte-Agathe;Sint-Agatha-Berchem;;1082
21004;B1;Bruxelles;Brussel;;1000
21004;B1;Bruxelles;Brussel;;1020
21004;B1;Bruxelles;Brussel;;1030
21004;B1;Bruxelles;Brussel;;1031
21004;B1;Bruxelles;Brussel;;1040
21004;B1;Bruxelles;Brussel;;1041
21004;B1;Bruxelles;Brussel;;1050
21004;B1;Bruxelles;Brussel;;1051
21004;B1;Bruxelles;Brussel;;1070
21004;B1;Bruxelles;Brussel;;1071
21004;B1;Bruxelles;Brussel;;1120
21004;B1;Bruxelles;Brussel;;1130
21005;B1;Etterbeek;Etterbeek;;1040
21006;B1;Evere;Evere;;1140
21007;B1;Forest;Vorst;;1190
21008;B1;Ganshoren;Ganshoren;;1083
21009;B1;Ixelles;Elsene;;1050
